Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Carolina,23%,65%,12%
North Carolina,23%,64%,13%
Alabama,23%,65%,12%
Kentucky,23%,63%,14%
Tennessee,22%,65%,13%
Utah,21%,66%,13%
Virginia,24%,63%,13%
Ohio,23%,63%,14%
West Virginia,24%,63%,13%
Delaware,25%,61%,14%
Illinois,23%,63%,14%
Oklahoma,19%,69%,12%
Rhode Island,24%,63%,13%
Georgia,23%,63%,14%
Nevada,20%,67%,13%
Indiana,21%,66%,13%
Pennsylvania,23%,62%,15%
Connecticut,22%,64%,14%
Arkansas,21%,67%,12%
Idaho,20%,67%,13%
Missouri,20%,66%,14%
Michigan,20%,67%,13%
Florida,23%,63%,14%
Kansas,19%,67%,14%
Maryland,23%,62%,15%
Arizona,20%,67%,13%
Louisiana,21%,66%,13%
Mississippi,20%,69%,11%
Wisconsin,20%,66%,14%
Texas,19%,69%,12%
New Jersey,23%,61%,16%
Iowa,20%,67%,13%
California,20%,65%,15%
North Dakota,18%,70%,12%
Nebraska,18%,69%,13%
Minnesota,19%,68%,13%
New York,21%,63%,16%
New Hampshire,21%,65%,14%
New Mexico,19%,67%,14%
Colorado,18%,68%,14%
Oregon,17%,69%,14%
Massachusetts,21%,62%,17%
Washington,18%,68%,14%
South Dakota,14%,75%,11%
Wyoming,16%,71%,13%
Maine,17%,70%,13%
Vermont,17%,68%,15%
Montana,14%,75%,11%
Alaska,15%,72%,13%
Hawaii,14%,73%,13%
District of Columbia,17%,66%,17%
